,Player Name
0,Keith Stackpole
1, Ashley Mallett 
2, Peter Lever 
3, Doug Walters 
4, Ian Chappell 
5, Greg Chappell 
6, Alan Knott 
7, Keith Fletcher 
8, Geoffrey Boycott 
9, John Snow 
