,Player Name
0,Keith Stackpole
1, Ashley Mallett 
2, John Snow 
3, Peter Lever 
4, Doug Walters 
5, Ian Chappell 
6, Greg Chappell 
7, Alan Knott 
8, Keith Fletcher 
9, Geoffrey Boycott 
