,Player Name
0,John Edrich
1, Ian Chappell 
2, Doug Walters 
3, Alan Knott 
4, Greg Chappell 
5, Keith Fletcher 
6, Ashley Mallett 
7, Peter Lever 
8, Geoffrey Boycott 
9, John Snow 
