,Player Name
0,Shakib Al Hasan
1,Mohammad Nabi
2,Chris Woakes
3,Rashid Khan
4,Mitchell Santner
5,Ben Stokes
6,Colin de Grandhomme
7,Imad Wasim
8,Ravindra Jadeja
9,Jimmy Neesham
10,Sean Williams
11,Sikandar Raza
12,Hardik Pandya
13,Andy McBrine
14,Andile Phehlukwayo
15,Mehedi Hasan
16,Trent Boult
17,Kagiso Rabada
18,Wanindu Hasaranga
19,Marcus Stoinis
